number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
343,4,"Wakata, Koichi",male,1963,Japan,FALSE,NASDA-2,1992,4,flight engineer,2009,18,STS-119,ISS,STS-127,3303,8336.5,0,0
343,4,"Wakata, Koichi",male,1963,Japan,FALSE,NASDA-2,1992,4,commander,2013,38,Soyuz TMA-11M,ISS,Soyuz TMA-11M,4509.75,8336.5,0,0
344,220,"Barry, Daniel T.",male,1953,U.S.,FALSE,NASA- 14,1992,3,MSP,1996,STS-72,STS-72,STS-72,STS-72,214,734,6.15,25.82
344,220,"Barry, Daniel T.",male,1953,U.S.,FALSE,NASA- 14,1992,3,MSP,1999,STS-96,STS-96,STS-96,STS-96,235,734,7.92,25.82
344,220,"Barry, Daniel T.",male,1953,U.S.,FALSE,NASA- 14,1992,3,MSP,2001,STS-105,STS-105,STS-105,STS-105,285,734,11.75,25.82
345,84,"Onufrienko, Yuri",male,1961,U.S.S.R/Russia,TRUE,TsPK-10,1989,2,commander,1996,21,Soyuz TM­23,Mir,Soyuz TM­23,4651,9350.77,30.5,42.53
345,84,"Onufrienko, Yuri",male,1961,U.S.S.R/Russia,TRUE,TsPK-11,1989,2,commander,2001,4,STS­108,ISS,STS­111,4699,9350.77,12.03,42.53
346,221,"Horowitz, Scott J.",male,1957,U.S.,TRUE,NASA- 14,1992,4,pilot,1996,STS-75,STS-75,STS-75,STS-75,378,1138.68,0,0
346,221,"Horowitz, Scott J.",male,1957,U.S.,TRUE,NASA- 15,1992,4,pilot,1997,STS-82,STS-82,STS-82,STS-82,277,1138.68,0,0
346,221,"Horowitz, Scott J.",male,1957,U.S.,TRUE,NASA- 16,1992,4,pilot,2000,STS-101,STS-101,STS-101,STS-101,237,1138.68,0,0
346,221,"Horowitz, Scott J.",male,1957,U.S.,TRUE,NASA- 17,1992,4,commander,2001,STS-105,STS-105,STS-105,STS-105,285,1138.68,0,0
347,2,"Cheli, Maurizio",male,1959,Italy,TRUE,1992 ESA Group,1992,1,MSP,1996,STS-75,STS-75,STS-75,STS-75,377.68,377.68,0,0
348,3,"Guidoni, Umberto",male,1954,Italy,FALSE,1996 NASA Group,1996,2,MSP,1996,STS-75,STS-75,STS-75,STS-75,377.67,663.17,0,0
348,3,"Guidoni, Umberto",male,1954,Italy,FALSE,1996 NASA Group,1996,2,MSP,2001,STS-100,STS-100,STS-100,STS-100,285.5,663.17,0,0
349,222,"Thomas, Andrew S. W.",male,1951,Australia,FALSE,1992 NASA group,1992,4,MSP,1983,STS-77,STS-77,STS-77,STS-77,240,4264,0,6.35
349,222,"Thomas, Andrew S. W.",male,1951,Australia,FALSE,1992 NASA group,1992,4,MSP,1998,24,STS-89,Mir,STS-91,3384,4264,0,6.35
349,222,"Thomas, Andrew S. W.",male,1951,Australia,FALSE,1992 NASA group,1992,4,MSP,2001,STS-102,STS-102,STS-102,STS-102,307,4264,6.35,6.35
349,222,"Thomas, Andrew S. W.",male,1951,Australia,FALSE,1992 NASA group,1992,4,MSP,2005,STS-114,STS-114,STS-114,STS-114,333,4264,0,6.35
350,223,"Linnehan, Richard M.",male,1957,U.S.,FALSE,NASA- 14,1992,4,MSP,1996,STS-78,STS-78,STS-78,STS-78,405,1427,0,42.2
350,223,"Linnehan, Richard M.",male,1957,U.S.,FALSE,NASA- 14,1992,4,MSP,1998,STS-90,STS-90,STS-90,STS-90,382,1427,0,42.2
350,223,"Linnehan, Richard M.",male,1957,U.S.,FALSE,NASA- 14,1992,4,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,1427,20.92,42.2
350,223,"Linnehan, Richard M.",male,1957,U.S.,FALSE,NASA- 14,1992,4,MSP,2008,STS-123,STS-123,STS-123,STS-123,378,1427,21.28,42.2
351,224,"Brady, Charles E., Jr.",male,1951,U.S.,TRUE,NASA- 14,1992,1,MSP,1996,STS-78,STS-78,STS-78,STS-78,405,405,0,0
352,6,"Favier, Jean-Jacques",male,1949,France,FALSE,CNES-2,1985,1,PSP,1996,STS-78,STS-78,STS-78,STS-78,405.8,405.8,0,0
353,5,Robert Thirsk,male,1953,Canada,FALSE,1983 NRC Group,1983,2,MSP,1996,STS-78,STS-78,STS-78,STS-78,405.8,4917.8,0,0
353,5,Robert Thirsk,male,1953,Canada,FALSE,1983 NRC Group,1983,2,flight engineer,2009,20,Soyuz TMA-15,ISS,Soyuz TMA-15,4512,4917.8,0,0
354,85,"Korzun, Valery",male,1953,U.S.S.R/Russia,TRUE,TsPK-8,1987,2,commander,1996,22,Soyuz TM­24,Mir,Soyuz TM­24,4721,9159.68,12.6,22.33
354,85,"Korzun, Valery",male,1953,U.S.S.R/Russia,TRUE,TsPK-9,1987,2,commander,2002,5,STS­111,ISS,STS­113,4438,9159.68,9.73,22.33
355,7,"André-Deshays, Claudie (Haigneré)",female,1957,France,FALSE,CNES-2/EAC,1985,2,MSP,1996,Soyuz TM-24/23,Soyuz TM-24,Soyuz TM-24,Soyuz TM-23,378.4,614.37,0,0
355,7,"André-Deshays, Claudie (Haigneré)",female,1957,France,FALSE,CNES-2/EAC,1985,2,flight engineer,2001,Soyuz TM-33/32,Soyuz TM-33,Soyuz TM-33,Soyuz TM-32,236,614.37,0,0
356,86,"Lazutkin, Aleksandr",male,1957,U.S.S.R/Russia,FALSE,NPOE-10,1992,1,flight engineer,1997,23,Soyuz TM­25,Mir,Soyuz TM­25,4438,4438.12,0,0
357,8,"Ewald, Reinhold",male,1956,Germany,FALSE,DLR-3/EAC,1990,1,MSP,1997,Soyuz TM-25/24,Soyuz TM-25,Soyuz TM-25,Soyuz TM-24,472.57,472.57,0,0
358,225,"Kilrain-Still, Susan L.",female,1961,U.S.,TRUE,NASA- 15,1995,2,pilot,1997,STS-83,STS-83,STS-83,STS-83,95,471,0,0
358,225,"Kilrain-Still, Susan L.",female,1961,U.S.,TRUE,NASA- 15,1995,2,pilot,1997,STS-94,STS-94,STS-94,STS-94,376,471,0,0
359,226,"Crouch, Roger Keith",male,1940,U.S.,FALSE,PS for STS-42,1995,2,PSP,1997,STS-83,STS-83,STS-83,STS-83,95.54,4576.07,0,0
359,226,"Crouch, Roger Keith",male,1940,U.S.,FALSE,PS for STS-43,1995,2,PSP,1997,STS-94,STS-94,STS-94,STS-94,377.01,4576.07,0,0
360,227,"Linteris, Gregory Thomas",male,1957,U.S.,FALSE,PS for STS-42,1995,2,PSP,1997,STS-83,STS-83,STS-83,STS-83,95.54,4576.07,0,0
360,227,"Linteris, Gregory Thomas",male,1957,U.S.,FALSE,PS for STS-43,1995,2,PSP,1997,STS-94,STS-94,STS-94,STS-94,377.01,4576.07,0,0
361,228,"Noriega, Carlos I.",male,1959,U.S.,TRUE,NASA-15,1995,2,MSP,1997,STS-84,STS-84,STS-84,STS-84,221,481,0,19.33
361,228,"Noriega, Carlos I.",male,1959,U.S.,TRUE,NASA-15,1995,2,MSP,2000,STS-97,STS-97,STS-97,STS-97,260,481,19.33,19.33
362,229,"Lu, Edward T.",male,1963,U.S.,FALSE,NASA- 15,1995,3,MSP,1997,STS-84,STS-84,STS-84,STS-84,221,4943.3,0,6.23
362,229,"Lu, Edward T.",male,1963,U.S.,FALSE,NASA- 16,1995,3,MSP,2000,STS-106,STS-106,STS-106,STS-106,283,4943.3,6.23,6.23
362,229,"Lu, Edward T.",male,1963,U.S.,FALSE,NASA- 17,1995,3,flight engineer,2003,7,Soyuz TMA-2,ISS,Soyuz TMA-2,4439,4943.3,0,6.23
363,87,"Vinogradov, Pavel",male,1953,U.S.S.R/Russia,FALSE,NPOE-10,1992,3,flight engineer,1997,24,Soyuz TM­26,Mir,Soyuz TM­26,4745,13126.53,25.27,38.4
363,87,"Vinogradov, Pavel",male,1953,U.S.S.R/Russia,FALSE,NPOE-10,1992,3,commander,2006,13,Soyuz TMA­8,ISS,Soyuz TMA­8,4390,13126.53,6.52,38.4
363,87,"Vinogradov, Pavel",male,1953,U.S.S.R/Russia,FALSE,NPOE-10,1992,3,commander,2013,35,Soyuz TMA­08M,ISS,Soyuz TMA­08M,3990,13126.53,6.62,38.4
364,230,"Curbeam, Robert L., Jr.",male,1962,U.S.,TRUE,NASA- 15,1994,3,MSP,1997,STS-85,STS-85,STS-85,STS-85,284,902,0,45.55
364,230,"Curbeam, Robert L., Jr.",male,1962,U.S.,TRUE,NASA- 15,1994,3,MSP,2001,STS-98,STS-98,STS-98,STS-98,309,902,19.82,45.55
364,230,"Curbeam, Robert L., Jr.",male,1962,U.S.,TRUE,NASA- 15,1994,3,MSP,2006,STS-116,STS-116,STS-116,STS-116,309,902,24.75,45.55
