"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"4174.0","1325.0","162.0","Lahontan Dam","Carson River","Churchill","36.27807901986153","-97.50189279297881","Nevada","Newlands","1911"
"4192.0","3100.0","44.0","Lake Alice No 1 Dam","Interstate Canal","Scotts Bluff","41.9728","-103.6286","Nebraska","North Platte","1910"
"4192.0","2550.0","33.0","Lake Alice No 1and 1 Half Dam","Interstate Canal","Scotts Bluff","41.9828","-103.597","Nebraska","North Platte","1910"
"4139.5","750.0","11.0","Lake Alice No 2 Dam","Lake Alice Feeder Canal","Scotts Bluff","41.9623003","-103.57258","Nebraska","North Platte","1908"
"4816.5","1224.0","116.5","Lake Sherburne Dam","Swiftcurrent Creek","Glacier","48.8285","-113.5213","Montana","Milk River","1914"
"6233.2","109.0","18.2","Lake Tahoe Dam","Truckee River","Placer","36.27807901986153","-97.50189279297881","California","Newlands","1909"
"567.0","2784.18","137.0","Lauro Dam","Diablo Creek","Santa Barbara","34.4542","-119.7264","California","Cachuma","1951"
"8167.0","1360.0","284.0","Lemon Dam","Florida River","La Plata","37.38170975228258","-107.66070485115051","Colorado","Florida","1961"
"1910.0","745.0","91.0","Lewiston Dam","Trinity River","Trinity","36.27807901986153","-97.50189279297881","California","CVP-Shasta/Trinity","1960"
"10207.0","2784.18","132.17","Lily Pad Diversion Inlet Dam","Ivanhoe Cr (Nast Tunnel)","Pitkin","39.15299","-106.32115","Colorado","Fryingpan-Arkansas","1970"
"4145.0","435.0","22.0","Link River Diversion Dam","Unknown","Unknown","36.27807901986153","-97.50189279297881","Unknown","Unknown","0"
"6640.0","220.0","43.0","Little Hell Creek Diversion Dam","Little Hell Creek","Larimer","40.3636","-105.32461","Colorado","Colorado-Big thompson","1952"
"676.0","2784.18","151.0","Little Panoche Detention Dam","Little Panoche Creek","Unknown","36.27807901986153","-97.50189279297881","Unknown","Unknown","0"
"5249.0","3100.0","129.0","Little Wood River Dam","Little Wood River","Blaine","43.4249051","-114.0292001","Idaho","Little Wood River","1936"
"384.0","1370.0","167.0","Los Banos Creek Detention Dam","Los Banos Creek","Merced","36.99","-120.0317","California","Central Valley","1964"
"6022.0","1078.0","248.4","Lost Creek Dam","Lost Creek","Morgan","41.184169080205045","-111.39918923377991","Utah","Weber Basin","1963"
"4094.5","300.0","26.0","Lost River Diversion Dam","Lost River","Klamath","36.27807901986153","-97.50189279297881","Oregon","Klamath","1912"
